,pair,residuals,beta
197,"('CRL', 'NKE')","0      -10.316988
1      -10.341318
2       -9.939537
3      -11.737169
4      -11.698455
          ...    
2511    -6.317421
2512    -5.572377
2513    -5.946377
2514    -9.020386
2515   -11.170428
Length: 2516, dtype: float64","const    27.857563
CRL       0.336003
dtype: float64"
198,"('CRL', 'PPG')","0       8.142692
1       6.601483
2       7.003743
3       6.241433
4       8.096766
          ...   
2511    5.195519
2512    2.493626
2513    1.444911
2514    2.142274
2515    5.075954
Length: 2516, dtype: float64","const    74.078642
CRL       0.219142
dtype: float64"
199,"('CRWD', 'MAS')","1093   -5.186167
1094   -5.495330
1095   -5.788169
1096   -6.784064
1097   -7.616210
          ...   
2511   -0.094465
2512   -1.676695
2513   -3.176310
2514   -3.817049
2515   -3.475426
Length: 1423, dtype: float64","const    33.381637
CRWD      0.115540
dtype: float64"
200,"('CRWD', 'SHW')","1093   -28.080418
1094   -31.980906
1095   -31.715263
1096   -36.971128
1097   -41.676498
          ...    
2511   -17.202210
2512   -17.432833
2513   -23.241223
2514   -21.964914
2515   -22.535047
Length: 1423, dtype: float64","const    144.986430
CRWD       0.578732
dtype: float64"
201,"('CRWD', 'SW')","2368   -8.762942
2369   -9.776454
2370   -7.942671
2371   -6.618602
2372   -4.504014
          ...   
2511   -1.822478
2512   -1.355421
2513   -1.762843
2514   -1.791735
2515   -1.882410
Length: 148, dtype: float64","const    25.410430
CRWD      0.074113
dtype: float64"
202,"('CSGP', 'LULU')","0       19.823114
1       21.378720
2       20.637039
3       19.117519
4       17.478751
          ...    
2511    84.805182
2512    79.902864
2513    82.238304
2514    77.848308
2515    77.139891
Length: 2516, dtype: float64","const   -50.653088
CSGP      4.961461
dtype: float64"
203,"('CTAS', 'MPWR')","0         4.200788
1         3.710186
2         4.610108
3         4.715647
4         4.360887
           ...    
2511   -181.871872
2512   -197.323619
2513   -163.119221
2514   -169.681402
2515   -180.931073
Length: 2516, dtype: float64","const   -19.946015
CTAS      4.184015
dtype: float64"
204,"('CTAS', 'PGR')","0       -0.417385
1       -0.374505
2       -0.462985
3       -0.370483
4       -0.327239
          ...    
2511    15.818522
2512    16.454088
2513    17.333541
2514    17.220129
2515    17.345676
Length: 2516, dtype: float64","const    5.049906
CTAS     1.124653
dtype: float64"
205,"('CTAS', 'TJX')","0      -0.507711
1      -0.803174
2      -0.457936
3      -0.457272
4      -0.335915
          ...   
2511    7.990412
2512    6.747913
2513    8.321816
2514    8.231529
2515    8.264829
Length: 2516, dtype: float64","const    23.547339
CTAS      0.464936
dtype: float64"
206,"('CTRA', 'WBD')","0       7.460281
1       7.992364
2       9.727382
3       9.417016
4       8.996105
          ...   
2511   -1.866202
2512   -1.717722
2513   -1.831112
2514   -1.580603
2515   -2.823747
Length: 2516, dtype: float64","const    49.423089
CTRA     -1.338993
dtype: float64"
207,"('CTVA', 'VTRS')","1081    1.408706
1082    0.421737
1083    0.495568
1084   -0.140173
1085   -0.753577
          ...   
2511    2.275056
2512    1.933646
2513    1.951127
2514    1.722260
2515    1.370345
Length: 1435, dtype: float64","const    19.033860
CTVA     -0.153653
dtype: float64"
208,"('CVS', 'LVS')","0       -3.275437
1       -3.343501
2       -1.248803
3       -1.612069
4       -0.030598
          ...    
2511    -6.826205
2512    -7.945700
2513    -8.180046
2514    -9.453379
2515   -11.038326
Length: 2516, dtype: float64","const    76.046851
CVS      -0.414140
dtype: float64"
209,"('CVX', 'WBD')","0       0.857694
1       1.100997
2       1.859505
3       1.594314
4       1.592374
          ...   
2511   -3.619350
2512   -3.870394
2513   -3.221361
2514   -3.135762
2515   -3.545898
Length: 2516, dtype: float64","const    42.860380
CVX      -0.193049
dtype: float64"
210,"('CZR', 'KMX')","0       14.388714
1       14.472446
2       15.609408
3       15.907868
4       16.494732
          ...    
2511    10.983367
2512     9.984405
2513     9.431670
2514     9.022844
2515    11.244547
Length: 2516, dtype: float64","const    46.853820
CZR       0.771229
dtype: float64"
211,"('CZR', 'TROW')","0        8.975046
1        8.301664
2        8.865415
3        8.779332
4        8.867743
          ...    
2511    29.120297
2512    28.112166
2513    27.651551
2514    22.579359
2515    23.488115
Length: 2516, dtype: float64","const    43.300865
CZR       1.234364
dtype: float64"
212,"('CZR', 'ZBH')","0       6.822593
1       5.555989
2       7.628616
3       7.475228
4       8.581016
          ...   
2511   -3.524701
2512   -4.588928
2513   -5.244052
2514   -4.882592
2515   -9.228243
Length: 2516, dtype: float64","const    95.27279
CZR       0.49187
dtype: float64"
213,"('DE', 'JBHT')","0       -5.570087
1       -6.345825
2       -6.155590
3       -6.274720
4       -5.699226
          ...    
2511   -37.438926
2512   -38.325642
2513   -38.320599
2514   -35.346593
2515   -35.342833
Length: 2516, dtype: float64","const    56.656844
DE        0.318957
dtype: float64"
214,"('DE', 'LH')","0      -14.566744
1      -15.827678
2      -14.301532
3      -13.209721
4      -13.276362
          ...    
2511     1.116332
2512     2.451347
2513    -0.536298
2514     4.364393
2515     2.481684
Length: 2516, dtype: float64","const    84.567944
DE        0.344376
dtype: float64"
215,"('DECK', 'LEN')","0       -3.556696
1       -3.158267
2       -2.576710
3       -2.806554
4       -2.046332
          ...    
2511   -38.277315
2512   -38.276785
2513   -35.321281
2514   -38.395142
2515   -40.117850
Length: 2516, dtype: float64","const    36.417298
DECK      0.750451
dtype: float64"
216,"('DECK', 'LLY')","0       -6.935080
1       -7.352908
2       -8.169211
3       -8.509903
4       -9.271817
          ...    
2511   -55.223409
2512   -23.235466
2513    -2.066880
2514    -0.651257
2515    20.589432
Length: 2516, dtype: float64","const    6.173617
DECK     4.849627
dtype: float64"
217,"('DECK', 'ORCL')","0       -3.184386
1       -2.794567
2       -2.520556
3       -3.104691
4       -2.836298
          ...    
2511    10.648598
2512    14.053113
2513    14.167109
2514    15.747001
2515    15.711677
Length: 2516, dtype: float64","const    31.213867
DECK      0.722810
dtype: float64"
218,"('DECK', 'PANW')","0      -7.196088
1      -7.254122
2      -6.996962
3      -6.508273
4      -6.541523
          ...   
2511   -3.506768
2512    1.372532
2513    3.085149
2514    3.604522
2515    3.869935
Length: 2516, dtype: float64","const    16.382793
DECK      0.967208
dtype: float64"
219,"('DECK', 'PCAR')","0      -3.025629
1      -2.819369
2      -2.976237
3      -3.051948
4      -2.995827
          ...   
2511   -1.575998
2512   -0.026888
2513   -0.118043
2514   -3.093383
2515   -3.283782
Length: 2516, dtype: float64","const    25.512388
DECK      0.490210
dtype: float64"
220,"('DECK', 'PGR')","0      -21.596373
1      -21.577343
2      -21.870296
3      -21.780151
4      -21.792529
          ...    
2511     4.298084
2512    14.919120
2513    15.378139
2514    12.712856
2515    13.979318
Length: 2516, dtype: float64","const    27.595755
DECK      1.209665
dtype: float64"
221,"('DECK', 'PH')","0      -27.358168
1      -27.011150
2      -27.590636
3      -28.573729
4      -28.122740
          ...    
2511    73.367574
2512    82.633162
2513    80.043383
2514    69.963284
2515    67.243475
Length: 2516, dtype: float64","const    92.231873
DECK      3.052833
dtype: float64"
222,"('DECK', 'PHM')","0       -1.937015
1       -1.857762
2       -1.667137
3       -2.022441
4       -1.782614
          ...    
2511   -13.169158
2512   -13.502504
2513   -11.544695
2514   -12.529141
2515   -14.804204
Length: 2516, dtype: float64","const    13.716684
DECK      0.638433
dtype: float64"
223,"('DECK', 'TDG')","0       -95.156182
1       -97.709167
2       -99.831912
3      -100.932774
4      -102.791708
           ...    
2511     10.233197
2512     54.738151
2513     17.251734
2514    -19.187540
2515    -24.629771
Length: 2516, dtype: float64","const    155.482085
DECK       6.696125
dtype: float64"
224,"('DECK', 'TT')","0      -15.388193
1      -15.433146
2      -15.656205
3      -15.989249
4      -15.843414
          ...    
2511   -10.465943
2512     0.107057
2513    -2.754229
2514    -6.188422
2515    -9.362542
Length: 2516, dtype: float64","const    35.809774
DECK      1.902380
dtype: float64"
225,"('DECK', 'UHS')","0      -13.339120
1      -14.443006
2      -12.418376
3      -12.398117
4      -14.470816
          ...    
2511     0.232547
2512     5.407252
2513     7.849600
2514     7.117817
2515     0.981579
Length: 2516, dtype: float64","const    108.615645
DECK       0.449435
dtype: float64"
226,"('DECK', 'URI')","0      -17.363014
1      -15.970977
2      -17.183280
3      -18.422654
4      -17.997839
          ...    
2511   -23.311150
2512   -15.610171
2513     4.336676
2514   -23.377395
2515   -18.766431
Length: 2516, dtype: float64","const    55.302719
DECK      4.093755
dtype: float64"
227,"('DECK', 'VMC')","0      -39.912214
1      -39.003192
2      -37.875777
3      -37.719655
4      -36.691359
          ...    
2511    -8.541369
2512    -4.462420
2513    -2.355003
2514    -3.277623
2515    -3.476281
Length: 2516, dtype: float64","const    96.398964
DECK      1.050363
dtype: float64"
228,"('DELL', 'UHS')","385      7.910238
386      8.015695
387      8.248880
388      8.499953
389      8.146483
          ...    
2511    12.544998
2512    17.256574
2513    18.033496
2514    16.634684
2515     9.921505
Length: 2131, dtype: float64","const    100.408677
DELL       0.729791
dtype: float64"
229,"('DGX', 'ITW')","0        4.579249
1        5.219526
2        3.336136
3        1.412700
4        2.004258
          ...    
2511   -15.527535
2512   -18.048234
2513   -20.502482
2514   -23.816954
2515   -20.415964
Length: 2516, dtype: float64","const   -35.796049
DGX       1.903639
dtype: float64"
230,"('DGX', 'J')","0       4.495733
1       5.372395
2       4.261969
3       3.728373
4       4.073763
          ...   
2511    2.619109
2512    1.922804
2513   -3.790664
2514   -7.077455
2515   -4.115937
Length: 2516, dtype: float64","const   -31.723763
DGX       1.037613
dtype: float64"
231,"('DGX', 'MTD')","0        40.612460
1        42.533850
2        26.085714
3        14.969555
4        16.936701
           ...    
2511   -322.880379
2512   -336.478729
2513   -351.081688
2514   -347.392349
2515   -332.239591
Length: 2516, dtype: float64","const   -490.316616
DGX       13.351544
dtype: float64"
232,"('DGX', 'NDAQ')","0       3.127050
1       3.183100
2       2.552349
3       2.209168
4       2.292217
          ...   
2511    8.123642
2512    8.079686
2513    7.348460
2514    7.587165
2515    9.402503
Length: 2516, dtype: float64","const   -23.135786
DGX       0.596886
dtype: float64"
233,"('DGX', 'NDSN')","0        2.539546
1        3.420810
2        1.198884
3       -0.260810
4       -0.016743
          ...    
2511   -64.875714
2512   -67.155251
2513   -68.502395
2514   -73.199350
2515   -69.640006
Length: 2516, dtype: float64","const   -51.577725
DGX       2.064215
dtype: float64"
234,"('DGX', 'RF')","0       0.104593
1       0.032372
2      -0.144826
3      -0.303032
4      -0.166685
          ...   
2511    1.273510
2512    0.782248
2513    0.952763
2514    0.676107
2515    1.219602
Length: 2516, dtype: float64","const   -2.195554
DGX      0.156726
dtype: float64"
235,"('DGX', 'TEL')","0       10.394620
1       11.357490
2       10.469978
3        9.643276
4       10.077271
          ...    
2511   -12.533231
2512   -14.768625
2513   -16.011630
2514   -16.178536
2515   -13.019910
Length: 2516, dtype: float64","const   -14.14427
DGX       1.07080
dtype: float64"
236,"('DGX', 'TXN')","0        3.176848
1        3.848296
2        3.241001
3        1.938474
4        2.821636
          ...    
2511   -28.966272
2512   -31.597225
2513   -33.445074
2514   -34.905456
2515   -31.111559
Length: 2516, dtype: float64","const   -55.418797
DGX       1.649265
dtype: float64"
237,"('DGX', 'WAT')","0       -0.795579
1       -0.979333
2       -2.786951
3       -4.927498
4       -4.858020
          ...    
2511    26.512318
2512    23.817524
2513    20.773977
2514    20.640570
2515    22.225150
Length: 2516, dtype: float64","const   -24.012631
DGX       2.532068
dtype: float64"
238,"('DHI', 'KLAC')","0        13.104592
1        12.951866
2        12.302927
3        12.686013
4        10.851220
           ...    
2511    129.419523
2512    152.851016
2513    150.843604
2514    164.733892
2515    175.528997
Length: 2516, dtype: float64","const   -77.078190
DHI       4.833676
dtype: float64"
239,"('DHI', 'LRCX')","0       -0.555974
1       -0.556688
2       -0.659360
3       -0.625882
4       -0.871935
          ...    
2511     5.507358
2512     7.323711
2513     5.657317
2514     8.193652
2515    10.230344
Length: 2516, dtype: float64","const   -9.992407
DHI      0.602784
dtype: float64"
240,"('DHI', 'MLM')","0      -47.915478
1      -46.711855
2      -31.228348
3      -28.440513
4      -27.930695
          ...    
2511    39.009902
2512    43.938168
2513    38.503031
2514    43.641109
2515    52.622987
Length: 2516, dtype: float64","const    86.495940
DHI       2.950065
dtype: float64"
241,"('DHI', 'MPWR')","0      -13.019690
1      -13.601780
2      -14.101022
3      -13.449589
4      -15.165748
          ...    
2511   -26.612282
2512   -12.382452
2513     3.306460
2514     5.203729
2515    14.524729
Length: 2516, dtype: float64","const   -65.328130
DHI       5.139608
dtype: float64"
242,"('DHI', 'PCAR')","0        2.816596
1        3.021840
2        2.803477
3        2.787110
4        2.726424
          ...    
2511    21.491585
2512    22.138907
2513    20.247060
2514    19.210601
2515    20.743533
Length: 2516, dtype: float64","const    12.771068
DHI       0.539939
dtype: float64"
243,"('DHI', 'SNPS')","0      -10.188305
1      -10.221164
2      -11.334087
3      -10.858356
4      -12.102738
          ...    
2511    20.880129
2512    32.589330
2513    27.444555
2514    35.189238
2515    47.623113
Length: 2516, dtype: float64","const   -36.768762
DHI       3.815142
dtype: float64"
244,"('DHR', 'NDSN')","0      -6.505034
1      -6.444417
2      -6.740255
3      -6.459990
4      -6.238562
          ...   
2511    3.395206
2512    6.227172
2513    6.150082
2514    6.747718
2515    7.944879
Length: 2516, dtype: float64","const    48.405015
DHR       0.756127
dtype: float64"
245,"('DHR', 'PLD')","0        1.607296
1        1.695974
2        1.671192
3        1.284865
4        1.391923
          ...    
2511     8.462156
2512    10.616825
2513    10.771555
2514    12.452194
2515    12.810910
Length: 2516, dtype: float64","const    17.156444
DHR       0.420362
dtype: float64"
246,"('DHR', 'TER')","0        3.841341
1        3.946825
2        4.229610
3        4.021552
4        3.898443
          ...    
2511    10.305255
2512     9.741642
2513     9.955808
2514    12.300615
2515    13.676407
Length: 2516, dtype: float64","const   -3.163684
DHR      0.487781
dtype: float64"
247,"('DIS', 'SW')","2368   -1.952125
2369   -3.190269
2370   -2.170259
2371   -0.989960
2372    0.969759
          ...   
2511   -1.212334
2512   -1.175732
2513   -0.552780
2514    1.292303
2515    0.750053
Length: 148, dtype: float64","const    6.985922
DIS      0.418507
dtype: float64"
248,"('DOV', 'J')","0       -5.891267
1       -5.906073
2       -5.617457
3       -5.078553
4       -5.153189
          ...    
2511    -4.464420
2512    -4.849703
2513   -10.080714
2514   -13.047969
2515   -11.483602
Length: 2516, dtype: float64","const    4.240305
DOV      0.689091
dtype: float64"
249,"('DOV', 'MCO')","0       -8.440614
1      -10.106010
2       -8.259799
3       -9.057340
4      -10.233611
          ...    
2511    18.265787
2512    18.762475
2513    13.837701
2514    12.065746
2515    21.066223
Length: 2516, dtype: float64","const   -23.181674
DOV       2.476217
dtype: float64"
250,"('DOV', 'SHW')","0       -1.978788
1       -4.923466
2       -2.466596
3       -2.657357
4       -2.617035
          ...    
2511   -17.361324
2512   -15.279658
2513   -16.519009
2514   -12.992571
2515   -12.268274
Length: 2516, dtype: float64","const   -2.983853
DOV      1.858333
dtype: float64"
251,"('DOV', 'WTW')","0      -12.392977
1      -13.288640
2      -12.430990
3       -5.600030
4       -5.429719
          ...    
2511    30.364372
2512    33.134444
2513    22.010967
2514    20.191800
2515    25.651007
Length: 2516, dtype: float64","const    56.233906
DOV       1.192909
dtype: float64"
252,"('DOW', 'VTRS')","1035    10.596348
1036    10.949430
1037    10.417102
1038    10.173572
1039    10.012803
          ...    
2511    -2.350238
2512    -2.896427
2513    -2.831911
2514    -2.881920
2515    -2.792660
Length: 1481, dtype: float64","const    20.789943
DOW      -0.183347
dtype: float64"
253,"('DTE', 'LHX')","0      -10.208905
1      -10.149859
2      -12.446863
3       -9.069441
4       -7.423389
          ...    
2511   -25.165902
2512   -26.866063
2513   -28.330625
2514   -35.010941
2515   -37.436092
Length: 2516, dtype: float64","const   -53.139885
DTE       2.421720
dtype: float64"
254,"('DTE', 'SYY')","0       -4.140573
1       -4.115865
2       -5.085816
3       -4.938659
4       -4.075290
          ...    
2511    -8.257113
2512    -9.557986
2513   -10.298652
2514   -11.680391
2515   -11.274661
Length: 2516, dtype: float64","const   -0.020375
DTE      0.677323
dtype: float64"
255,"('DTE', 'UNP')","0       27.784921
1       26.415477
2       24.822610
3       28.887298
4       31.321425
          ...    
2511     8.174212
2512     0.852298
2513     1.957763
2514    -2.166072
2515    -0.799261
Length: 2516, dtype: float64","const   -60.309191
DTE       2.501877
dtype: float64"
256,"('DUK', 'J')","0       -8.145226
1       -7.265692
2       -8.941282
3       -6.798344
4       -5.406210
          ...    
2511     0.705388
2512    -2.746265
2513    -6.198851
2514   -10.402619
2515   -10.804334
Length: 2516, dtype: float64","const   -55.090759
DUK       1.736900
dtype: float64"
257,"('DUK', 'KO')","0      -2.588676
1      -2.585711
2      -2.322905
3      -1.728527
4      -1.556929
          ...   
2511   -3.912803
2512   -4.774178
2513   -4.988760
2514   -5.403111
2515   -5.649954
Length: 2516, dtype: float64","const   -0.298606
DUK      0.604442
dtype: float64"
258,"('DUK', 'NDAQ')","0      -4.573500
1      -4.521483
2      -5.456822
3      -4.281816
4      -3.607688
          ...   
2511    7.802089
2512    6.198626
2513    6.751740
2514    6.493097
2515    6.387228
Length: 2516, dtype: float64","const   -34.996316
DUK       0.978071
dtype: float64"
259,"('DUK', 'PAYX')","0      -7.352824
1      -7.100017
2      -8.426726
3      -6.484951
4      -5.387696
          ...   
2511    5.264314
2512    4.112626
2513    6.340057
2514    5.216246
2515    3.244611
Length: 2516, dtype: float64","const   -52.113183
DUK       1.736931
dtype: float64"
260,"('DUK', 'WAT')","0      -33.338987
1      -33.538215
2      -36.643835
3      -32.337862
4      -29.757770
          ...    
2511    24.924152
2512    15.606396
2513    18.015852
2514    15.763965
2515     9.194657
Length: 2516, dtype: float64","const   -74.781247
DUK       4.155167
dtype: float64"
261,"('DUK', 'WM')","0      -11.885647
1      -11.070228
2      -13.608801
3      -10.919701
4       -9.362231
          ...    
2511     7.846662
2512     7.978976
2513     8.516589
2514     7.213863
2515     5.338757
Length: 2516, dtype: float64","const   -95.577159
DUK       2.750161
dtype: float64"
262,"('DUK', 'WTW')","0      -16.500089
1      -15.850248
2      -18.383083
3       -8.785606
4       -6.081414
          ...    
2511    39.686910
2512    37.160890
2513    29.108337
2514    25.163025
2515    27.225138
Length: 2516, dtype: float64","const   -45.719414
DUK       2.996719
dtype: float64"
263,"('DXCM', 'NCLH')","0      -8.086375
1      -9.081584
2      -7.798629
3      -7.609473
4      -7.602006
          ...   
2511    0.484372
2512   -0.131263
2513    0.237326
2514    0.923518
2515    0.675311
Length: 2516, dtype: float64","const    57.216321
DXCM     -0.338025
dtype: float64"
264,"('DXCM', 'PPG')","0        5.751764
1        4.139172
2        4.623747
3        4.542160
4        6.724283
          ...    
2511    -6.086960
2512    -9.568890
2513   -10.460214
2514    -9.711790
2515    -6.617193
Length: 2516, dtype: float64","const    85.183870
DXCM      0.417863
dtype: float64"
265,"('ECL', 'WDAY')","0       10.513828
1        9.468986
2        8.147067
3        9.643561
4       10.105933
          ...    
2511   -31.303667
2512   -32.637710
2513   -31.735795
2514   -16.518866
2515   -10.884109
Length: 2516, dtype: float64","const   -58.357082
ECL       1.405815
dtype: float64"
266,"('ED', 'LMT')","0      -14.280772
1      -12.638222
2      -15.004557
3       -9.663857
4       -7.258593
          ...    
2511   -14.327107
2512   -34.275919
2513   -31.325874
2514   -43.591204
2515   -40.377201
Length: 2516, dtype: float64","const   -141.944436
ED         6.605735
dtype: float64"
267,"('ED', 'NOC')","0      -17.290787
1      -13.167321
2      -16.141582
3       -9.864844
4       -7.431161
          ...    
2511     3.183097
2512    -9.358168
2513    -9.800563
2514   -28.716099
2515   -29.866142
Length: 2516, dtype: float64","const   -165.174380
ED         6.926193
dtype: float64"
268,"('EFX', 'LH')","0       -2.484690
1       -3.605308
2       -2.427730
3       -1.315822
4       -6.147086
          ...    
2511     4.272280
2512     7.754486
2513     7.124628
2514     7.860485
2515    20.106991
Length: 2516, dtype: float64","const    40.305629
EFX       0.746860
dtype: float64"
269,"('EFX', 'STX')","0       18.001879
1       18.361820
2       18.090123
3       18.460767
4       16.178400
          ...    
2511     2.285494
2512     2.164497
2513     3.479516
2514     3.084612
2515    11.618868
Length: 2516, dtype: float64","const   -10.349315
EFX       0.380027
dtype: float64"
270,"('EG', 'WBD')","0      -1.222047
1      -1.170941
2      -0.342050
3      -0.574413
4      -0.818160
          ...   
2511   -3.603012
2512   -4.074919
2513   -4.479053
2514   -4.511831
2515   -4.884127
Length: 2516, dtype: float64","const    43.814920
EG       -0.085672
dtype: float64"
271,"('EIX', 'WBD')","0        0.148904
1        0.181069
2        1.754912
3        0.963323
4        0.767238
          ...    
2511   -13.234707
2512   -14.461758
2513   -14.998856
2514   -14.431758
2515   -15.119557
Length: 2516, dtype: float64","const    56.457209
EIX      -0.607083
dtype: float64"
272,"('EL', 'ZBH')","0       1.482024
1       0.256999
2       2.245093
3       2.045785
4       3.092621
          ...   
2511    4.863504
2512    3.643476
2513    5.298051
2514    6.282744
2515    2.069663
Length: 2516, dtype: float64","const    91.979199
EL        0.151472
dtype: float64"
273,"('ELV', 'PEP')","0      -3.557619
1      -3.935219
2      -3.261911
3      -2.056455
4      -2.264204
          ...   
2511    5.961744
2512    3.206849
2513   -2.798163
2514   -0.672874
2515    2.248786
Length: 2516, dtype: float64","const    46.438975
ELV       0.248393
dtype: float64"
274,"('EMR', 'MAS')","0      -7.805360
1      -7.838226
2      -8.088142
3      -8.299060
4      -8.506557
          ...   
2511   -3.915125
2512   -4.211861
2513   -4.459518
2514   -2.105349
2515   -3.027158
Length: 2516, dtype: float64","const    0.072667
EMR      0.639650
dtype: float64"
275,"('EMR', 'MPWR')","0        -4.939349
1        -7.896666
2       -11.040297
3       -11.494001
4       -17.180267
           ...    
2511   -197.545911
2512   -187.126449
2513   -158.168197
2514   -134.065479
2515   -153.981970
Length: 2516, dtype: float64","const   -341.406463
EMR        9.052115
dtype: float64"
276,"('EMR', 'STX')","0       11.058317
1       11.104192
2       10.466875
3       10.747450
4       10.286734
          ...    
2511   -15.107106
2512   -15.919244
2513   -14.731698
2514   -10.926541
2515   -11.861135
Length: 2516, dtype: float64","const   -16.494099
EMR       0.984696
dtype: float64"
277,"('EMR', 'SYK')","0      -29.083402
1      -30.613580
2      -31.329498
3      -31.724619
4      -33.682972
          ...    
2511   -10.915506
2512    -4.034150
2513    -2.248441
2514    14.261956
2515     7.113854
Length: 2516, dtype: float64","const   -32.901420
EMR       3.348264
dtype: float64"
278,"('ENPH', 'SW')","2368   -1.218312
2369   -2.456031
2370   -0.927470
2371    0.944073
2372    4.438178
          ...   
2511   -0.682563
2512    0.026954
2513    0.758221
2514    1.280170
2515    1.050737
Length: 148, dtype: float64","const    64.452494
ENPH     -0.171483
dtype: float64"
279,"('EOG', 'WBD')","0       4.640069
1       4.807935
2       5.477768
3       4.878989
4       4.907651
          ...   
2511   -2.414510
2512   -2.553401
2513   -2.255521
2514   -2.222678
2515   -2.806522
Length: 2516, dtype: float64","const    41.953017
EOG      -0.231326
dtype: float64"
280,"('EPAM', 'KMX')","0       7.056646
1       7.187947
2       8.256084
3       8.554791
4       8.568421
          ...   
2511    1.965049
2512    0.225378
2513    0.338925
2514   -0.229265
2515    1.107487
Length: 2516, dtype: float64","const    50.750125
EPAM      0.129646
dtype: float64"
281,"('EPAM', 'NEM')","0      -7.014682
1      -6.569328
2      -6.754900
3      -6.969967
4      -6.983895
          ...   
2511    3.030967
2512    3.255694
2513    3.590722
2514    5.046858
2515    3.812058
Length: 2516, dtype: float64","const    22.699648
EPAM      0.066898
dtype: float64"
282,"('EPAM', 'NKE')","0      -10.755676
1      -11.029967
2      -10.407450
3      -11.051272
4      -11.682891
          ...    
2511   -16.199583
2512   -17.044484
2513   -16.593950
2514   -19.213520
2515   -22.864942
Length: 2516, dtype: float64","const    41.25105
EPAM      0.20416
dtype: float64"
283,"('EPAM', 'RVTY')","0      -12.938310
1      -13.419767
2      -13.139271
3      -13.083622
4      -13.743319
          ...    
2511    19.520158
2512    16.445353
2513    16.295757
2514    14.948475
2515    10.184887
Length: 2516, dtype: float64","const    45.076347
EPAM      0.242296
dtype: float64"
284,"('EPAM', 'TECH')","0       -5.596389
1       -5.655005
2       -5.329035
3       -5.288875
4       -5.808164
          ...    
2511     9.488260
2512     7.503779
2513     8.294099
2514    10.568784
2515     9.084556
Length: 2516, dtype: float64","const    17.099967
EPAM      0.184918
dtype: float64"
285,"('EPAM', 'ZBH')","0        0.256742
1       -0.979635
2        1.053620
3        0.900502
4        1.692720
          ...    
2511    -8.870754
2512   -10.377755
2513   -10.625697
2514   -10.339864
2515   -15.178099
Length: 2516, dtype: float64","const    100.224292
EPAM       0.071375
dtype: float64"
286,"('EQIX', 'ITW')","0       13.878485
1       14.122012
2       13.763057
3       13.233060
4       12.640494
          ...    
2511    -5.176994
2512    -9.261314
2513   -12.544324
2514   -16.306605
2515   -16.533549
Length: 2516, dtype: float64","const    15.936469
EQIX      0.271874
dtype: float64"
287,"('EQIX', 'KMB')","0       -3.416655
1       -3.886315
2       -3.317760
3       -3.334131
4       -3.096575
          ...    
2511    -6.966625
2512    -6.586729
2513    -8.429940
2514    -9.392772
2515   -10.119585
Length: 2516, dtype: float64","const    68.686401
EQIX      0.074700
dtype: float64"
288,"('EQIX', 'MA')","0       32.881650
1       34.299476
2       32.761954
3       32.383665
4       32.089129
          ...    
2511    63.332541
2512    71.045608
2513    60.617231
2514    60.438467
2515    60.627518
Length: 2516, dtype: float64","const   -58.100398
EQIX      0.602191
dtype: float64"
289,"('EQIX', 'SHW')","0       40.783408
1       39.664719
2       40.583472
3       39.545687
4       38.962226
          ...    
2511    15.800955
2512    14.741394
2513    10.954701
2514    12.924251
2515    12.089141
Length: 2516, dtype: float64","const   -25.533121
EQIX      0.402658
dtype: float64"
290,"('EQIX', 'SPGI')","0       44.492517
1       44.947036
2       44.536771
3       44.241623
4       44.622045
          ...    
2511    19.107079
2512    15.247044
2513     4.808614
2514    -2.180916
2515     1.835029
Length: 2516, dtype: float64","const   -63.655244
EQIX      0.619441
dtype: float64"
291,"('ERIE', 'LII')","0      -33.287399
1      -32.501310
2      -32.078690
3      -32.859120
4      -31.858054
          ...    
2511    78.663626
2512    68.395742
2513    64.189332
2514    66.771157
2515    61.055951
Length: 2516, dtype: float64","const    38.808824
ERIE      1.178676
dtype: float64"
292,"('ERIE', 'PCAR')","0        3.029650
1        3.449747
2        3.368184
3        3.145711
4        3.254774
          ...    
2511    12.579986
2512    10.684888
2513    10.100848
2514     7.850151
2515     7.490017
Length: 2516, dtype: float64","const    9.710067
ERIE     0.219853
dtype: float64"
293,"('ERIE', 'TDG')","0        -6.775867
1        -6.351791
2        -7.465432
3       -10.613407
4       -11.766629
           ...    
2511    191.808548
2512    189.231869
2513    145.028575
2514    118.305528
2515    110.448915
Length: 2516, dtype: float64","const   -69.801058
ERIE      3.055795
dtype: float64"
294,"('ERIE', 'TT')","0        8.124198
1        8.909223
2        8.978357
3        8.075669
4        8.426915
          ...    
2511    44.442007
2512    41.648828
2513    36.874814
2514    36.252352
2515    32.419304
Length: 2516, dtype: float64","const   -25.537301
ERIE      0.853320
dtype: float64"
295,"('ERIE', 'WBA')","0      -3.695450
1      -3.668682
2      -3.421003
3      -1.376721
4      -1.038938
          ...   
2511   -0.622470
2512   -1.053491
2513   -0.963936
2514   -0.267455
2515   -0.139779
Length: 2516, dtype: float64","const    65.228778
ERIE     -0.134821
dtype: float64"
296,"('ES', 'PAYC')","0       -2.431782
1        2.573212
2       -4.574022
3        3.293878
4       10.885338
          ...    
2511    20.383002
2512    11.307560
2513    15.189592
2514    11.630872
2515    10.565409
Length: 2516, dtype: float64","const   -288.011414
ES         8.238357
dtype: float64"
